D46,4,02CSHCLF600628,SAMSUNG,LS19D300 MNTR 18.5,,,,A 27144,41982,1,MONITOR REYNA,LED SAMSUNG LS19D300 MNTR 18.5 WIDE VGA 1360X768,499.99,Pantalla
D47,1,02CSHCLF600625,SAMSUNG,LS19D300 MNTR 18.6,,,,A 27144,41983,1,MONITOR GUSTAVO,LED SAMSUNG LS19D300 MNTR 18.5 WIDE VGA 1360X769,499.99,Pantalla
D48,,841BT3K6T3FB,CANVIO,BLACK 21000YC,,,,,41919,1,DISCO DURO,1TB CANVIO BASICS 3.0 PORTABLE EXT HARD DRIVE,1128.2,DD
D49,,,,,,,,,41811,1,DISCO DURO,,580,DD
D50,,,SEGATE,,,,,,41526,,DISCO DURO,DISCO DURO EXTERNO 750GB,2581,DD
D51,,,SEGATE,,,,,,41519,,DISCO DURO,DISCO DURO 500GB,1856,DD
D52,,,,,,,,,41199,,DISCO DURO,DISCO DURO 500GB,2552,DD
D53,37,3K12471744,VOYAGER,1250G NEGRO CABLE USB,,,,,41677,1,ESCANER CODIGO DE BARRAS ALMACEN,LECTOR VOYAGER,1746.62,Lector
D54,31,3K13101792,VOYAGER,1250G NEGRO CABLE USB,,,,,41677,1,ESCANER CODIGO DE BARRAS SERVICIO,LECTOR VOYAGER,1746.62,Lector
D55,,,,,,,,,41811,1,NO-BREAK,NO-BREAK DOBLE PILA,1740,UPS
D56,,,,,,,,,41811,1,NO-BREAK,NO-BREAK PILA SENCILLA,1160,UPS
D57,,THP533T0F0,HP,HP 600GB 12G SAS 15K 2.5IN SC E2.5,,,,A 37531,42335,1,DD CDK 1,DD para servidor de CDK,18197.78,DD
D58,,THP536T06F,HP,HP 600GB 12G SAS 15K 2.5IN SC E2.5,,,,A 37531,42335,1,DD CDK 2,DD para servidor de CDK,18197.78,DD
D59,,THP536T06G,HP,HP 600GB 12G SAS 15K 2.5IN SC E2.5,,,,A 37531,42335,1,DD CDK 3,DD para servidor de CDK,18197.78,DD
D60,,PH1536K06M,HP,HP 900GB 12G SAS 10K 2.5IN SC 2.5ENT HDD,,,,A 37531,42335,1,DD CDK 4,DD para servidor de CDK,11610.1,DD
D61,,,Kingston,45400VU,,,,A 41896,42436,1,MEMORIA USB,Memoria Kingston 16 GB,2449.28,USB
D62,,,Kingston,45400VU,,,,A 41896,42436,1,MEMORIA USB,Memoria Kingston 16 GB,2449.28,USB
D63,24,,Microsoft,,,,,,,1,Smartphone Shery,Smarthphone Microsoft    30:0d:43:b3:c6:b0,0,Smartphone
D64,25,,Microsoft,,,,,,,1,Smartphone Christian,Smarthphone Microsoft    30:0d:43:b3:c8:74,0,Smartphone
D65,15,F9D0AP011033,Asus,984007D,,,,A 39815,42394,1,DVD SISTEMAS (DIAGNOSTICO),SLIM ASUS 8X USB NEGRO,719.71,DVD
D66,12,"2159607017198,",TP-LINK,B40001V,,,,A 42063,42459,1,Switch Caja,MINI SWITCH 5PER,163.55,Switch
D67,31,"2159607017200,",TP-LINK,B40001V,,,,A 42063,42459,1,Switch Garantias,MINI SWITCH 5PER,163.55,Switch
D68,2,,,,,,,,,,Switch Jaime,,0,Switch
D69,6,"2167899017747,",TP-LINK,,,,,A 55754,42783,1,Switch Ramon,MINI SWITCH 5PER,239.88,Switch
D70,,"2169617016026,",TP-LINK,,,,,A 58569,42845,1,Switch Stock,MINI SWITCH 5PER,224.04,Switch
D71,34,3B1616X16221,,,,,,A 58597,42850,1,NO-BREAK ANGELICA SERV,BACK UPS RS LCD 700,2835.19,UPS
D72,9,3B1648X22701,,,,,,A 58597,42850,1,NO-BREAK 1 LAMINADO,BACK UPS RS LCD 700,2835.19,UPS
